n_required,n_cands_per_course,total_sections,ms
6,12,72,0.02650008536875248
6,12,72,0.026124995201826096
6,12,72,0.02708309330046177
6,12,72,0.026042107492685318
6,12,72,0.025958986952900887
6,12,72,0.026167137548327446
6,12,72,0.02670893445611
6,12,72,0.026374822482466698
6,12,72,0.028166919946670532
6,12,72,0.027999980375170708
6,12,72,0.03133295103907585
6,12,72,0.025667017325758934
6,12,72,0.026124995201826096
6,12,72,0.025792047381401062
6,12,72,0.025999965146183968
6,12,72,0.025250017642974854
6,12,72,0.026166904717683792
6,12,72,0.02595805563032627
6,12,72,0.025791116058826447
6,12,72,0.025709159672260284
6,12,72,0.02637505531311035
6,12,72,0.025833025574684143
